UUID,Description 1,Domains,AttributeNameENG,Categories,ACS Definition
bf1b39d9-9870-4b31-b8c4-b840f87d7c3b,xShowerToiletries,LODGING_UNDEFINED,Shower toiletries,null,Base attribute removed: ShowerToiletries; Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226)
aaae2052-0bba-11ea-8d71-362b9e155667,xRomeCityTax,PROPERTY,xCity/Local-Rome,null,Deprecated per CGSCQ-18481; Removed base attribute: RomeCityTax; Removed broader concept: CityTax
66e72d29-0ade-4fd5-a154-f009f4d05ce8,VideoGameConsole,PROPERTY,Video-game console,"Entertainment, FamilyAndChildren, LCS, PartnerCentral:RoomEntertainment, StructuredAttributeContent",All rooms at this property offer a video game console (an electronic device that outputs a video signal or image to display a video game that can be played with a game controller)
1be6be04-d3fe-11e9-bb65-2a2ae2dbcce4,Bedroom:KingBed:Instance7,PROPERTY,King bed,"LCS, Vrbo",The seventh bedroom has one or more king-sized beds
bf401994-8eba-11e9-bc42-526af7764f64,SelfParking:CreditAmountOffer:PerStay:PerRoom:ValueAdd:(PromotionType),VALUE_ADD_PROMOTION,Promotion type,null,Value-add promotion provides a credit toward self-parking per room per stay
bf3f8f42-8eba-11e9-bc42-526af7764f64,ContinentalBreakfast:DiscountPercentageOffer:PerStay:PerRoom:ValueAdd:(PromotionType),VALUE_ADD_PROMOTION,Promotion type,null,The type of value add promotion for a discounted percentage off of continental breakfast per room per stay
04338e38-c167-48d8-bee6-a4aa07981229,CityTax:AmountFee:Mandatory:ForChildren:(Amount),PROPERTY,City tax child amount -,null,The amount charged for the specified item or service; The amount charged for the mandatory city tax fee for children
b6ad334b-8985-413e-9a1e-50a4ecd86714,WaterUtility:AmountFee:Mandatory,PROPERTY,Required water utility fee amount,"Fee, MandatoryFee, PartnerCentral:FacilityFee",There is a mandatory fee at the property for water usage
d8d1a644-a495-44a5-80f3-3d7ffe775ae7,RyokanBath:Outdoor:Private:BookableUnit,ROOM_UNIT,Outdoor private bath (no mineral springs),"LCS, PartnerCentral:RyokanFacilities, Ryokan, StructuredAttributeContent",There is a private outdoor ryokan bath in this room/unit at a ryokan property
165d5c40-5385-46d6-8d16-46311c6ba661,ElectricityConsumption:AmountFee,PROPERTY,Electricity consumption fee,"ClimateControl, Fee, OptionalFee, PartnerCentral:FacilityFee",The heating fee applies only if a certain minimum quantity of energy is consumed
36cce622-4028-48c2-bc02-3faaea761a06,MultisourceMarketplaceTestEID,PROPERTY,Marketplace test,LCS,Property is part of Multisource marketplace test
54b0b35e-8e10-11e9-bc42-526af7764f64,AmusementPark:Access:Free:PerDay:PerPerson:GuestLimit:ValueAdd:(Version),VALUE_ADD_PROMOTION,Version,null,Amount given for value add promotion  for a credit amount toward amusement park access per person per day for a specified number of guests
dbfafc21-0ef4-46ab-83e8-4c69af9c1ce7,HotAndOrMineralSprings:Outdoor:(Count),PROPERTY,Number of outdoor hot springs -,null,The number of outdoor hot and/or mineral springs at the property
79dcc1d2-c8b4-469e-815b-d1e27fe37560,CheckIn:(MinimumAge),ROOM_UNIT; PROPERTY,Minimum check-in age is:,null,The minimum age a guest must be in order to check in at the property
c641b0c8-5b31-4f16-b40d-6dfae9a5dc0d,xClubLevelRoom:EnglishBreakfast:Free:BookableUnit,ROOM_UNIT,Club/exec room includes English breakfast,"Breakfast, Club, PartnerCentral:Club","This attribute has been deprecated due to CAM-577.
Base attribute: ClubLevelRoom; EnglishBreakfast
Base attribute: BookableUnit; Free
Categories: Breakfast; Club; PartnerCentral, Dining, Fee, FoodAndBeverage
This bookable unit includes traditional English breakfast, typically available in the club/executive lounge"
7f4c8d14-c236-4ab1-b265-09bd18aae5e7,SpaService:Free:PerDay:PerPerson:GuestLimit:ValueAdd,VALUE_ADD_PROMOTION,1 Free spa service for %person_count% per day,"RatePlan, SearchFilter:SpaServicesonsite, Spa, StandardValueAdd, ValueAdd, ValueAddPromotion, VAP:OfferType:Free, VAP:SpaService",Value add promotion inclusion for free spa services per person per day for a specified number of guests
c62215f5-e54b-4025-948a-da49422fd590,CoffeePastries:Daily:Free:ValueAdd,RATE_PLAN,Coffee/Pastries Each Morning,"Dining, FoodAndBeverage, LCS, RatePlan, StandardValueAdd, ValueAdd",This rate plan includes coffee/pastries each morning
6f110b18-1c17-45dd-a709-da5acc2b6393,Entertainment:CreditAmountOffer:PerDay:PerRoom:ValueAdd,VALUE_ADD_PROMOTION,"%amount% entertainment credit per room, per day","RatePlan, StandardValueAdd, ValueAdd, ValueAddPromotion",Value add promotion inclusion for a credit amount toward entertainment per room per day
29a62185-4277-438e-bd06-2788a6e8b83b,StarRating3,PROPERTY,3-star rating,"NonPartnerCentral, Rating",The property has a 3-star rating
f1119891-b694-4605-b97c-21a41baaad0b,QueenBed,SPACE,Queen Bed(s),null,This Space-level amenity describes a bed type that is available. This data is mastered in the Room Type Service and exists in the ACS taxonomy to facilitate mapping for distribution of RTS data via ACS Distribution. It is not intended for direct configuration by suppliers within ACS.
ddbbef7e-ba26-11e8-96f8-529269fb1459,Resort:VoucherAmountOffer:PerStay:PerRoom:ValueAdd:(Amount),VALUE_ADD_PROMOTION,Amount,null,The voucher amount for a value add promotion for a voucher toward resort access per room per stay
47e8963a-6f16-4bc5-9c1b-87b3441ee666,xGala:Dinner:Fee:Mandatory:ForChildren:ChineseNewYear:(Scope),PROPERTY,xGalaChineseNYChild-Scope,null,Deprecated per CAM-223; removed data term: Scope
8512ff6b-aa72-487e-91e3-3e086c5ff752,ContinentalBreakfast:CreditAmountOffer:PerStay:PerRoom:ValueAdd:(Amount),VALUE_ADD_PROMOTION,Amount,null,The credit amount for a value add promotion for a credit amount toward continental breakfast per room per stay
ddbc8632-ba26-11e8-96f8-529269fb1459,WaterPark:Access:DiscountPercentageOffer:PerStay:PerPerson:GuestLimit:ValueAdd:(GuestLimitQuantity),VALUE_ADD_PROMOTION,Guest limit,null,The maximum number of guests allowed for a value add promotion for a discounted percentage amount off of water park access per person per stay
a0fdd530-e34c-406b-b2e7-5eb4b53c9282,Casino:SlotMachines:(Count),PROPERTY,Number of slot machines -,null,The number of slot machines available at the property casino
bc8308f0-5a96-4492-b3d8-a97497a79bad,BarUGC:XMD:(Count),PROPERTY,CB-AB-Br-Cnt,null,Number of reviews for the quality of onsite bar(s) at a property evaluated in the last 1.5 years to determine the sentiment score. Created for CAM-638
6c9eeec2-6166-4133-999b-5172936ed980,CityTax:Instance2:AmountFee:Mandatory:ForChildren:(Scope),PROPERTY,CityChild2-Scope,null,"Scope for the second instance of the mandatory city tax for children (i.e. per person, per accommodation, etc.); Scope for the fee (i.e. per person, per accomodation, etc.)"
bf3f8ab0-8eba-11e9-bc42-526af7764f64,ContinentalBreakfast:Free:PerStay:PerPerson:GuestLimit:ValueAdd:(PromotionType),VALUE_ADD_PROMOTION,Promotion type,null,The type of value add promotion for continental breakfast per person per stay for a specfied number of guests
a63b29fa-d672-457d-9307-c4c23dc5ec16,ClosedArea:Restaurant,PROPERTY,Restaurant,"Closure, Dining, FoodAndBeverage, PartnerCentral:Closures, Restaurant",A restaurant at the property is closed 1-5 days of the week
b339961f-ac9b-4715-a34c-f1ff7ff2dc23,NonLocalGuests,PROPERTY,Non-local guests,"CheckInCheckOut, PolicyLegal, StayPolicy",There property has a policy regarding non-local guests
1379b96f-1581-48ec-94f4-91a6ededfbd3,Restaurant:Instance2:Alfresco,PROPERTY,Al fresco dining,"Dining, FoodAndBeverage, PartnerCentral:Dining, Restaurant",The second dining venue offers outdoor seating
5e7e9819-2c49-11b2-8090-b6976d4e7ba7,Linens:HighTempWash:Unavailable,PROPERTY,Bed sheets and towels are not washed at a temperature of at least 60°C/140°F,"PartnerCentral:TravelerSafety, Safety, StructuredAttributeContent, Vrbo",Bed sheets and towels are not washed at a temperature of at least 60¬∞C/140¬∞F
30557f7c-13f4-451b-a7fb-dd56bc1533e4,Snowmobiling,LODGING_UNDEFINED,Snowmobiling,null,"Parent concept for snowmobiling (traveling by snowmobile, which is a personal motor vehicle designed to be driven on snow) amenities"
6a57a8b8-a242-44e0-ba08-010501a29c56,xProductOffer:CustomTerms,PROPERTY,xUnique/uncommon amenities,null,"Deprecated due to CAM-430
Base attribute: ProductOffer
Base term: CustomTerms
Unique offers from property owners."
bff166fe-ad44-42ef-a47b-b3c2f4f7659f,xLateBooking:AmountFee:Mandatory:(Amount),PROPERTY,Late booking fee amount -,null,"Deprecated as part of CAM-386, removing unused fees
Data term: Amount
Previous definition: The amount charged for the mandatory late booking fee"
aaae5392-0bba-11ea-8d71-362b9e155667,xRollawayExtraBeds:BookableUnit:(Count),ROOM_UNIT,Number of rollaway/extra beds,null,"Deprecated due to CAM-451
Data term: Count
The number of rollaway/extra beds available in this bookable unit"
e6eb01ea-6b81-11e9-a923-1681be663d3e,Waterfront:SiteLocation:(Description),PROPERTY,Description,null,Description of the waterfront where the property is located
da8032fc-bb40-44be-9bf1-d771c18d2efc,DiningVenue:SeasonalClosure,PROPERTY,Dining venue,"Closure, Dining, FoodAndBeverage, PartnerCentral:Closures, Restaurant",A dining venue at the property is closed seasonally
0bb2a794-8e21-4b46-be95-cb5fe4e77981,BalconyWarning,PROPERTY,"Please note, some room types at this property are not available when booking a stay with children.","FamilyAndChildren, LCS","Please note, some room types at this property are not available when booking a stay with children"
96d5bdba-c890-4a87-b725-85392d85d0fb,xThermostat,LODGING_UNDEFINED,Thermostat,null,Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226); Base attribute removed: Thermostat
0eb6ba18-38a3-11ea-a137-2e728ce88125,PropertyPolicy:Instance5:SeasonalClosure,PROPERTY,ClosureSeasonal-NoSeq-Month5,"Closure, PartnerCentral:Closures, StayPolicy",There is a 5th instance of seasonal closure at the property
1ad469ac-6351-4694-b13f-4bf8fe252250,CityTax:Instance3:AmountFee:Mandatory:ForChildren:(Amount),PROPERTY,CityChild3-Amt,null,The amount charged for the specified item or service; The amount charged for the third instance of the mandatory city tax fee for children
e97906da-534b-488d-bfd1-1b7d1f7a7562,PropertyPolicy:NotPermitted:ForChildren:(MaximumAge),ROOM_UNIT; PROPERTY,Children not allowed max age,null,The property does not allow children who are this age or younger
e72b0e09-cff4-4f34-a1db-93745c9d5a60,ClubCard:AmountFee:Mandatory:ForAdults:(Interval),PROPERTY,Club card fee duration -,null,"Duration of stay to which the mandatory adult club card fee is applied (per night, per stay, etc.)"
3b9a5236-bb42-11e8-a355-529269fb1459,CheckIn:Early:PercentageFee,PROPERTY,Early check-in fee percentage,"CheckInCheckOut, PartnerCentral:CheckinAndCheckout, StayPolicy",The property charges a percentage-based fee for early check-in
f6071d2e-8ab3-4186-b83b-70a1e0683b4a,Sailboat,PROPERTY,Sailboat on site,"AdventureActivity, LCS, PartnerCentral:WaterBasedActivities, StructuredAttributeContent, WaterBasedActivity",One or more sailboats are available to guests during their stay
326a057a-4d0f-11ea-b77f-2e728ce88125,AmazonPay,PROPERTY,Amazon Pay,"LCS, PartnerCentral:PaymentMethods, PaymentMethods, StructuredAttributeContent",AmazonPay is a mobile app accepted for payments on site
27ae9302-c58a-4664-9e13-0e34aadcab0d,xOnCommandVideo:BookableUnit,ROOM_UNIT,On Command video,TV,"Deprecated due to CAM-571
Base attribute: OnCommandVideo
Base term: BookableUnit
Category: TV
This bookable unit has On Command Video, a corporation that provides in-room entertainment and information services to hotels, motels, and resorts"
9936b2fc-8a3a-4240-bb5a-b47f09b252a4,HealthDocuments:NotRequired,PROPERTY,Property does not require health documentation at check-in,"LCS, PartnerCentral:TravelerSafety, Safety, StayPolicy, StructuredAttributeContent","Guests are not required to provide health documentation at check-in
"
d1913a34-d763-41b6-894b-490c8a2b48ed,Breakfast:ForChildren,PROPERTY,Chidren's breakfast,"Breakfast, Dining, FamilyAndChildren, FoodAndBeverage, StructuredAttributeContent",Child-related breakfast policies/amenities
e06671de-1076-11ea-8d71-362b9e155667,Wheelchair:Accessible:Unavailable,PROPERTY,Wheelchair accessible – no,"Accessibility, ContentQualityScore, ContentScore, LCS, PartnerCentral:Accessibility, StructuredAttributeContent",Confirmed negative - Property is not wheelchair accessible
ddb9445e-ba26-11e8-96f8-529269fb1459,Breakfast:DiscountPercentageOffer:PerDay:PerPerson:GuestLimit:ValueAdd:(GuestLimitQuantity),VALUE_ADD_PROMOTION,Guest limit,null,The maximum number of guests allowed for a value add promotion for a discounted percentage off of breakfast per person per day
bf40deec-8eba-11e9-bc42-526af7764f64,xAirportShuttle:Oneway:DiscountPercentageOffer:OnRequest:PerStay:PerPerson:GuestLimit:ValueAdd:(PromotionType),VALUE_ADD_PROMOTION,Promotion type,null,"Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226); Base attribute removed: AirportShuttle; base terms removed: Oneway, DiscountPercentageOffer, OnRequest, PerStay, PerPerson, GuestLimit, ValueAdd; data term removed: PromotionType"
645a3d0a-7d8c-11e9-8f9e-2a86e4085a59,WiFi:InRoom:(Description),PROPERTY,Description,null,Details about WiFi access
a635f7cb-1c28-4296-b557-3da064f80d47,BabysittingChildcare:ForChildren:InRoom:Fee:BookableUnit,ROOM_UNIT,In-room childcare (surcharge),"FamilyAndChildren, Fee, LCS, PartnerCentral:FamilyAndChildren, StructuredAttributeContent",In-room babysitting/childcare services are available for a surcharge to guests staying in this bookable unit
a38c9872-46de-4131-beb5-2f5bc985d3ba,Snowmobiling:Onsite,PROPERTY,Snowmobiling on site,"ContentScore, Fitness, LCS, PartnerCentral:WinterSport, Sport, StructuredAttributeContent, WinterSport",Guests can go snowmobiling onsite
0eb6de6c-38a3-11ea-a137-2e728ce88125,FullBathroom:Toilet:Instance2,PROPERTY,FullBathrm2-Toilet(s),"Bathroom, LCS, Vrbo",The second full bathroom has one or more toilets
0cc9ab8d-ebc9-4731-a1e0-ba800fb48923,EgyptianCottonSheets:BookableUnit,ROOM_UNIT,Egyptian-cotton sheets,"LCS, PartnerCentral:Bedding, StructuredAttributeContent",This bookable unit has Egyptian cotton bed sheets (sheets made from high-quality cotton originating in Egypt)
bdfa3a7c-987c-4c29-9d8f-ccddbef310a3,FrontDesk:DayRange:(StartTime),PROPERTY,Front desk day range 1 start time -,null,The front desk hours vary depending on the day of the week. During the first range of days the front desk opens at this time
07b67058-c81c-4455-8be2-4cb7250cab8a,FoodAndBeverage:DiscountPercentageOffer:PerDay:PerPerson:GuestLimit:ValueAdd:(GuestLimitQuantity),VALUE_ADD_PROMOTION,Guest limit,null,The maximum number of guests allowed for a value add promotion for a discounted percentage off of food and beverages per person per day
ddba81ac-ba26-11e8-96f8-529269fb1459,Pool:CreditAmountOffer:PerDay:PerPerson:GuestLimit:ValueAdd:(CurrencyCode),VALUE_ADD_PROMOTION,Currency code,null,The currency code for a value add promotion for a credit toward pool access per person per day for a specified number of guests
df0949ae-275f-48bb-97ba-13b62688e607,InstantBookable:(BooleanText),PROPERTY,Instant bookable,null,Field for boolean text attached to instant bookable for Vrbo properties
787a7bff-ccf2-4a7e-9d03-b3be3b98ef6a,xHouseStructure,LODGING_UNDEFINED,House structure,null,Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226); Base attribute removed: HouseStructure
4a8d7335-e033-4f94-9582-ef424456c8bd,SkiRun,LODGING_UNDEFINED,Ski run,null,Broader concept for attributes related to ski runs
4299c015-149b-4086-95b4-8a752beb504b,Recycling,PROPERTY,Recycling,"LCS, PartnerCentral:Green, StructuredAttributeContent, Sustainability, Vrbo","The property recycles some of the non-organic waste it generates, and/or participates in a local or municipal recycling program"
b87d98f9-609f-422f-8538-ac535eecbb6f,SelfParking:Onsite:Free:CorporateValueAdd,RATE_PLAN,Free hotel parking,"BusinessRates, CorporateValueAdd, LCS, Parking, RatePlan, SearchFilter:FreeParking, SearchFilter:Parking, ValueAdd",This corporate rate plan includes free self-parking
6d091f2a-d331-11e9-bb65-2a2ae2dbcce4,Bedroom:SleepSofaOrFuton:Instance4,PROPERTY,Sofa or futon bed,"LCS, Vrbo",The fourth bedroom has one or more sleeper sofas or futons
0924a533-5bcc-4a8f-89f8-18537d6d2bed,WiredInternet:PublicAreas:Free,PROPERTY,Free wired internet,"ContentScore, Internet, LCS, PartnerCentral:Internet, SearchFilter:HighspeedInternet",Wired internet access is complimentary in public areas
ddbbb978-ba26-11e8-96f8-529269fb1459,Resort:CreditAmountOffer:PerStay:PerPerson:GuestLimit:ValueAdd:(GuestLimitQuantity),VALUE_ADD_PROMOTION,Guest limit,null,The maximum number of guests allowed for a value add promotion for a credit amount toward resort access per person per stay
0b35b524-e45c-4669-88ca-0e7ae66f1234,CityTax:Instance4:AmountFee:Mandatory:ForAdults:(Amount),PROPERTY,CityAdult4-Amt,null,The amount charged for the specified item or service; The amount charged for the fourth instance of the mandatory city tax fee for adults
b5c03647-e517-462e-a217-90a19a60e8d0,Handrail:Hallway:Height:(MeasurementInCentimeters),PROPERTY,Hallway handrail height (centimeters) -,null,Height (in centimeters) of the hallway handrail/s
ddbbcd14-ba26-11e8-96f8-529269fb1459,Resort:Access:VoucherAmountOffer:PerDay:PerPerson:GuestLimit:ValueAdd:(CurrencyCode),VALUE_ADD_PROMOTION,Currency code,null,The currency code for a voucher amount toward resort access per person per day for a specified number of guests
71c028c4-38a3-11ea-a137-2e728ce88125,GeneralSleepArrangement:SleepSofaOrFuton,PROPERTY,GenSlpArrang-Sleep sofa/futon(s),"LCS, Vrbo",The general sleeping area has one or more sleeper sofas or futons
eec4420a-6130-4fb7-9e5e-0f33aef4554e,Venue:HappyHour:Instance4,PROPERTY,Happy hour,"Dining, FoodAndBeverage, PartnerCentral:Dining, Restaurant",The fourth dining venue has designated times when discounted food/beverages are offered
ddb92190-ba26-11e8-96f8-529269fb1459,AmusementPark:Access:VoucherAmountOffer:PerStay:PerPerson:GuestLimit:ValueAdd,VALUE_ADD_PROMOTION,%amount% amusement park access discount voucher for %person_count% (once per stay),"FamilyAndChildren, RatePlan, StandardValueAdd, ValueAdd, ValueAddPromotion",Value add promotion inclusion for voucher toward an amount off for amusement park access per person per stay for a specified number of guests
e74b1b71-1e7e-4aa7-bdf2-40f86f791465,WaterSports:AllInclusiveException,LODGING_UNDEFINED,Water sports exceptions for all-inclusive rate plans,AllInclusive,Broader concept for water sports (e.g. surfing) amenities which are not in all-inclusive rate plans
e87653f0-dc8a-43af-a97e-e721526fce99,Minibar:DiscountPercentageOffer:PerStay:PerRoom:ValueAdd,VALUE_ADD_PROMOTION,%percent% mini bar discount,"FoodAndBeverage, Kitchen, RatePlan, RoomRefreshment, StandardValueAdd, ValueAdd, ValueAddPromotion, VAP:MiniBar, VAP:OfferType:Discount",Value add promotion inclusion for a discount percentage off of minibar items per room per stay
07449d51-09c0-4b56-8193-32fd641552b8,Bicycle:UnknownAvailability,PROPERTY,No bicycle rentals,"AdventureActivity, ContentScore, PartnerCentral:AdventureActivities, PartnerCentral:BikeFriendly, Sport, Sustainability",It is not known if the property offers onsite bicycle rentals
be99fb36-31ec-4fcc-b08a-260ea151c577,RaisedToiletSeat:Height:(MeasurementInCentimeters),PROPERTY,Raised toilet seat height (centimeters) -,null,The height (in centimeters) of the in-room raised toilet seat
4605dc47-3407-42a2-b367-957384708498,xWaterCraftMooring:AmountFee:Mandatory:(Interval),PROPERTY,Water craft (mooring) fee duration -,null,"Deprecated due to CAM-584
Data term: Interval
Enum value: per day, per night, per stay, per week
The duration of stay to which the mandatory watercraft mooring fee is applied (per night, per stay, etc.)"
54b24eb2-8e10-11e9-bc42-526af7764f64,Resort:Access:CreditAmountOffer:PerStay:PerPerson:GuestLimit:ValueAdd:(Version),VALUE_ADD_PROMOTION,Version,null,The version of a value add promotion for a credit amount toward resort access per room per stay for a specified number of guests
7476b8c7-a020-4ed1-a219-8698a6715c2f,Bedroom:KingBed:Instance3:(Count),PROPERTY,King bed(s) -,null,The number of king-sized beds in the third bedroom
21b72fdc-29af-43f9-8cf1-2e22905f0eee,Deposit:SpringBreak:AmountFee:(Interval),PROPERTY,Spring break deposit duration -,null,"The interval for which the spring break deposit is charged (per day, per night, per stay, or per week)"
bf408848-8eba-11e9-bc42-526af7764f64,Tour:DiscountPercentageOffer:PerDay:PerRoom:ValueAdd:(PromotionType),VALUE_ADD_PROMOTION,Promotion type,null,The type of value add promotion for a discounted percentage off of tour(s) per room per day
6a67c083-edd2-477e-9787-c8dbb0f569f5,WaterCraft:AmountFee:(Interval),PROPERTY,Water craft fee duration -,null,"The duration of stay to which the optional watercraft fee is applied (per night, per stay, etc.)"
d678984f-2e11-4dc4-8cdc-462086fd38dc,GeneralDeposit:AmountFee:(Amount),PROPERTY,General deposit amount -,null,The fee amount charged for the general deposit required at check-in
2c32a6e3-fc58-48e4-8476-f8beddd3886f,Karaoke,PROPERTY,Karaoke,"Entertainment, LCS, PartnerCentral:GameAndEntertainment, StructuredAttributeContent","This property offers karaoke (a form of entertainment, offered typically by bars and clubs, in which people take turns to sing popular songs into a microphone over prerecorded backing tracks)"
5ae939c3-e152-404e-ab64-40fd2a4de49e,Toaster:BookableUnit,SPACE; ROOM_UNIT,Toaster,"Kitchen, LCS, PartnerCentral:KitchenFeatures, StructuredAttributeContent, Vrbo",This bookable unit has a countertop appliance used for toasting bread products
f01dc0f0-4dea-4a22-8299-d103a260e1e2,ColonialPropertyDesign,PROPERTY,Colonial,"BuildingFeatures, PartnerCentral:BuildingFeatures",The property features Colonial architectural design or aesthetics
6afb8a56-f2cd-435f-a25d-f9c8484254c2,GeneralSleepArrangement,PROPERTY,General sleeping arrangements,"LCS, Vrbo",There is a general sleeping area that is not necessarily a bedroom at the property/in the bookable unit
117713ed-267b-4583-aa2d-edcc063fd577,PropertyPolicy:Disclaimer,PROPERTY,Policy Disclaimer,StayPolicy,"This disclaimer explains that cultural norms and guest policies may differ by country and by property, and policies listed are provided by the property"
bed56fd4-99c0-429c-a961-558396d99e20,TrainStation:Dropoff,LODGING_UNDEFINED,Train station dropoff,Transportation,Transportation is available to a train station from the property
71c041a6-38a3-11ea-a137-2e728ce88125,OtherSleepArea:KingBed,PROPERTY,OtherSlpArea1-King bed(s),"LCS, Vrbo",The sleeping area has one or more king-sized beds
11034e17-ceb2-4b10-82bc-f4defeef2f3b,GolfCourse:Onsite,PROPERTY,Golf course on site,"ContentScore, LCS, PartnerCentral:Golf, PartnerCentral:Sports, Sport, StructuredAttributeContent",There is a golf course on the property
69473caa-15b4-487b-82b1-4680eb37bddc,DoorbellPhoneNotification,PROPERTY,Doorbell/telephone notification,"Accessibility, LCS, PartnerCentral:Accessibility, StructuredAttributeContent",All bookable units are equipped with lights that flash for doorbell/telephone notifications to assist guests who are hearing impaired
de90b471-4a65-4212-8eb3-dd8eabf2dc7b,xFencedPatioOrDeck,PROPERTY,Fenced patio/deck,null,Base attribute removed: FencedPatioOrDeck; Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226)
bf3fb26a-8eba-11e9-bc42-526af7764f64,Dinner:Free:PerStay:PerPerson:GuestLimit:ValueAdd:(PromotionType),VALUE_ADD_PROMOTION,Promotion type,null,The type of value add promotion for dinner per person per stay for a specified number of guests
88db23e8-7baa-4f6f-9961-b3ae94f0f989,xBeverage:BEXLoyalty:(DiscountCurrencyAmount),PROPERTY,Beverage discount,null,"Deprecated per CAM-232;
Removed data term: DiscountCurrencyAmount; Removed broader concept: Beverage:BEXLoyalty
A beverage discount for a specified amount is offered to BEXLoyalty customers"
4c19eb3e-37e4-4656-a564-841d8a2e60dc,PropertyPolicy:TemporaryClosure:(StartYear),PROPERTY,Temporary closure start year -,null,A temporary closure of the entire property begins this year
54b1bc4a-8e10-11e9-bc42-526af7764f64,SkiLiftTicket:DiscountPercentageOffer:PerDay:PerRoom:ValueAdd:(Version),VALUE_ADD_PROMOTION,Version,null,The version of a value add promotion for a discounted percentage off of ski lift tickets per room per day
bf411952-8eba-11e9-bc42-526af7764f64,WaterPark:Access:VoucherAmountOffer:PerStay:PerPerson:GuestLimit:ValueAdd:(PromotionType),VALUE_ADD_PROMOTION,Promotion type,null,The type of value add promotion for a voucher amount toward water park access per person per stay for a specified number of guests
5dc36c67-f7a5-4ae4-a8b1-6e336f3f3af6,CheckOut:Late,PROPERTY,Late checkout,"CheckInCheckOut, PartnerCentral:CheckinAndCheckout, StayPolicy",The property has additional late check-out amenities assigned
7fcfa733-705c-4c99-844e-d70f23b30fbb,JCBInternational,PROPERTY; ROOM_UNIT,JCB International,"ContentScore, LCS, PartnerCentral:PaymentMethods, PaymentMethods, StructuredAttributeContent, Vrbo",JCB International is a Japan-based credit card service provider; this form of payment is accepted on site
fef530f3-2c4d-11b2-80d3-6ab77c977816,xGeneralFee:Fee:Mandatory:VariableFee:PerRoomSize,PROPERTY,xOther fee varies by unit type,null,"Deprecated as part of CAM-386, removing unused fees
Base Attribute: GeneralFee
Base Term: Fee, PerRoomSize, Mandatory, VariableFee
Category: MandatoryFee
Previous definition: The variable mandatory general fee is charged based on the size of the guest's room"
2af58617-2c57-11b2-804b-fe4684b722a4,Renovation:AlternateFacilities,PROPERTY,Alternate facility available during renovation,"LCS, PartnerCentral:Closures, PartnerCentral:Renovations, Renovation",Alternate facilities are available during renovation
41cd90f7-3d61-4aeb-a3c4-bd0be7a672e3,xStateTax,PROPERTY,xState tax,null,"Deprecated due to CAM-534
Base attribute: StateTax
Broader concept for templates related to state taxes"
ede73f23-f3b9-4509-b83d-d365c24dca7a,Laundry:Unavailable,PROPERTY,No laundry facility,"ContentQualityScore, LCS, PartnerCentral:GuestServiceAndFacilities, Vrbo",The property does not have laundry facilities (confirmed negative)
5079860b-8e2d-4bf9-8c72-ece10d19c781,Minibar:Free:PerStay:PerRoom:ValueAdd,VALUE_ADD_PROMOTION,Free mini bar (once per stay),"FoodAndBeverage, Kitchen, RatePlan, RoomRefreshment, StandardValueAdd, ValueAdd, ValueAddPromotion, VAP:MiniBar, VAP:OfferType:Free",Value add promotion inclusion for free minibar items per room per stay
aaae921c-0bba-11ea-8d71-362b9e155667,xTourism:Fee:Mandatory:UnknownAvailability,PROPERTY,No tourism fee,"Fee, MandatoryFee","Deprecated per CAM-808, due to low coverage and no collection.  Base attribute: Tourism. Base term: Mandatory, xNoFee. Category: Fee, MandatoryFee.  | It is unknown whether the property charges a mandatory tourism fee"
cbb4032d-42af-4b4e-bbee-9804a9fa9b2d,xConnectedHome,LODGING_UNDEFINED,Connected home,null,Base attribute removed: ConnectedHome; Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226)
f9f8b6a5-c6cc-403a-b3b5-a38217843ee5,Heating:BookableUnit:(Description),ROOM_UNIT,Heating description,null,Partner-provided details of property's heating system(s)
0521e54a-630a-11ea-bc55-0242ac130003,GasConsumption:AmountFee:(Interval),PROPERTY,Gas consumption fee duration -,null,The amount of the consumption-based gas charge
ddba95ac-ba26-11e8-96f8-529269fb1459,Pool:Access:DiscountPercentageOffer:PerDay:PerPerson:GuestLimit:ValueAdd:(GuestLimitQuantity),VALUE_ADD_PROMOTION,Guest limit,null,The maximum number of guests allowed for a value add promotion for a discounted percentage amount off of pool access per person per day
148bce59-287a-45f1-b3bc-1a407197e84f,SelfParking:AmountFee:(Interval),PROPERTY,Self parking fee duration -,null,"Interval for which the parking fee applies (per night, day, week, or stay) "
e847770c-56fb-4794-a21c-a7f2021a78f9,ArtGallery,PROPERTY,Art gallery,PartnerCentral:Shopping,A room or building for the display or sale of works of art
8893f50b-c86d-485b-a7cb-1e1d992e7fe8,Parking:NearbyLocation,PROPERTY,Distance to parking,"LCS, Location, Parking, PartnerCentral:Parking, Vrbo",Parking is located off site but near the property
55caf319-ff15-428c-9831-16de52f1a988,xPropertyMapLocation,LODGING_UNDEFINED,Property map location,null,Deprecated per CAM-226 (https://jira.expedia.biz/browse/CAM-226); Base attribute removed: PropertyMapLocation
